depcom,ncc,nccenr,depcom_pole
48047,LA CHAZE-DE-PEYRE,La Chaze-de-Peyre,48009
48049,CHIRAC,Chirac,48099
48052,COMBRET,Combret,48004
48060,FAU-DE-PEYRE,Fau-de-Peyre,48009
48062,FONTANES,Fontanes,48105
48066,FRAISSINET-DE-LOZERE,Fraissinet-de-Lozère,48116
48076,JAVOLS,Javols,48009
48084,LAVAL-ATGER,Laval-Atger,48139
48093,MAS-D'ORCIERES,Mas-d'Orcières,48027
48101,MONTBRUN,Montbrun,48146
48102,MONTJEZIEU,Montjézieu,48034
48109,LA PARADE,La Parade,48074
48113,PIN-MORIES,Pin-Moriès,48099
48114,PLANCHAMP,Planchamp,48015
48118,PRADES,Prades,48146
48120,PRINSUEJOLS,Prinsuéjols,48087
48122,QUEZAC,Quézac,48146
48125,LE RECOUX,Le Recoux,48094
48134,SAINT-ANDEOL-DE-CLERGUEMORT,Saint-Andéol-de-Clerguemort,48152
48142,SAINTE-COLOMBE-DE-PEYRE,Sainte-Colombe-de-Peyre,48009
48143,SAINTE-COLOMBE-DE-MONTAUROUX,Sainte-Colombe-de-Montauroux,48070
48154,SAINT-GEORGES-DE-LEVEJAC,Saint-Georges-de-Lévéjac,48094
48159,SAINT-JEAN-CHAZORNE,Saint-Jean-Chazorne,48015
48162,SAINT-JULIEN-D'ARPAON,Saint-Julien-d'Arpaon,48166
48164,SAINT-JULIEN-DU-TOURNEL,Saint-Julien-du-Tournel,48027
48172,SAINT-MAURICE-DE-VENTALON,Saint-Maurice-de-Ventalon,48116
48180,SAINT-ROME-DE-DOLAN,Saint-Rome-de-Dolan,48094
48183,SAINT-SAUVEUR-DE-PEYRE,Saint-Sauveur-de-Peyre,48009
48186,LA SALLE-PRUNET,La Salle-Prunet,48061
48195,LES VIGNES,Les Vignes,48094
48196,LE VILLARD,Le Villard,48039
49001,LES ALLEUDS,Les Alleuds,49050
49004,ANDARD,Andard,49307
49005,ANDIGNE,Andigné,49176
49006,ANDREZE,Andrezé,49023
49013,AUVERSE,Auverse,49228
49014,AVIRE,Aviré,49331
49016,BAGNEUX,Bagneux,49328
49019,BAUNE,Bauné,49307
49024,BEAUSSE,Beausse,49244
49025,BEAUVAU,Beauvau,49163
49031,BOCE,Bocé,49018
49032,LA BOHALLE,La Bohalle,49307
49033,LA BOISSIERE-SUR-EVRE,La Boissière-sur-Èvre,49218
49034,BOTZ-EN-MAUGES,Botz-en-Mauges,49244
49037,LE BOURG-D'IRE,Le Bourg-d'Iré,49331
49039,BOURGNEUF-EN-MAUGES,Bourgneuf-en-Mauges,49244
49040,BOUZILLE,Bouzillé,49069
49042,BRAIN-SUR-L'AUTHION,Brain-sur-l'Authion,49307
49043,BRAIN-SUR-LONGUENEE,Brain-sur-Longuenée,49367
49044,BREIL,Breil,49228
49047,BRIGNE,Brigné,49125
49049,BRION,Brion,49138
49051,BRISSARTHE,Brissarthe,49065
49052,BROC,Broc,49228
49059,LES CERQUEUX-SOUS-PASSAVANT,Les Cerqueux-sous-Passavant,49373
49062,CHALONNES-SOUS-LE-LUDE,Chalonnes-sous-le-Lude,49228
49066,CHAMP-SUR-LAYON,Champ-sur-Layon,49345
49071,CHANZEAUX,Chanzeaux,49092
49072,LA CHAPELLE-DU-GENET,La Chapelle-du-Genêt,49023
49073,LA CHAPELLE-HULLIN,La Chapelle-Hullin,49248
49074,LA CHAPELLE-ROUSSELIN,La Chapelle-Rousselin,49092
49075,LA CHAPELLE-SAINT-FLORENT,La Chapelle-Saint-Florent,49244
49077,LA CHAPELLE-SUR-OUDON,La Chapelle-sur-Oudon,49331
49078,CHARCE-SAINT-ELLIER-SUR-AUBANCE,Charcé-Saint-Ellier-sur-Aubance,49050
49079,CHARTRENE,Chartrené,49018
49081,CHATELAIS,Châtelais,49331
49083,CHAUDRON-EN-MAUGES,Chaudron-en-Mauges,49218
49084,CHAUMONT-D'ANJOU,Chaumont-d'Anjou,49163
49085,LA CHAUSSAIRE,La Chaussaire,49218
49087,CHAVAIGNES,Chavaignes,49228
49088,CHAZE-HENRY,Chazé-Henry,49248
49091,CHEMELLIER,Chemellier,49050
49093,CHEMIRE-SUR-SARTHE,Chemiré-sur-Sarthe,49220
49094,CHENEHUTTE-TREVES-CUNAULT,Chênehutte-Trèves-Cunault,49261
49095,CHENILLE-CHANGE,Chenillé-Changé,49067
49096,CHERRE,Cherré,49065
49097,CHEVIRE-LE-ROUGE,Cheviré-le-Rouge,49018
49098,CHIGNE,Chigné,49228
49101,CLEFS,Clefs,49018
49103,COMBREE,Combrée,49248
49104,CONCOURSON-SUR-LAYON,Concourson-sur-Layon,49125
49105,CONTIGNE,Contigné,49065
49106,CORNE,Corné,49307
49108,LA CORNUAILLE,La Cornuaille,49183
49111,COSSE-D'ANJOU,Cossé-d'Anjou,49092
49115,COUTURES,Coutures,49050
49116,CUON,Cuon,49018
49117,LA DAGUENIERE,La Daguenière,49307
49118,DAMPIERRE-SUR-LOIRE,Dampierre-sur-Loire,49328
49119,DAUMERAY,Daumeray,49220
49122,DENEZE-SOUS-LE-LUDE,Dénezé-sous-le-Lude,49228
49124,DOUCES,Douces,49125
49126,DRAIN,Drain,49069
49128,ECHEMIRE,Échemiré,49018
49133,FAVERAYE-MACHELLES,Faveraye-Mâchelles,49345
49134,FAYE-D'ANJOU,Faye-d'Anjou,49345
49136,LA FERRIERE-DE-FLEE,La Ferrière-de-Flée,49331
49137,LE FIEF-SAUVIN,Le Fief-Sauvin,49218
49139,FONTAINE-MILON,Fontaine-Milon,49194
49141,FORGES,Forges,49125
49142,LA FOSSE-DE-TIGNE,La Fosse-de-Tigné,49373
49143,FOUGERE,Fougeré,49018
49144,FREIGNE,Freigné,44180
49145,LE FUILET,Le Fuilet,49218
49146,LES GARDES,Les Gardes,49092
49147,GEE,Gée,49021
49148,GENE,Gené,49367
49149,GENNES,Gennes,49261
49150,GENNETEIL,Genneteil,49228
49151,GESTE,Gesté,49023
49152,GOHIER,Gohier,49029
49153,VALANJOU,Valanjou,49092
49154,GREZILLE,Grézillé,49261
49156,GRUGE-L'HOPITAL,Grugé-l'Hôpital,49248
49157,LE GUEDENIAU,Le Guédeniau,49018
49158,L'HOTELLERIE-DE-FLEE,L'Hôtellerie-de-Flée,49331
49162,JALLAIS,Jallais,49023
49164,JOUE-ETIAU,Joué-Étiau,49092
49165,LA JUBAUDIERE,La Jubaudière,49023
49166,JUIGNE-BENE,Juigné-Béné,49214
49168,JUMELLES,Jumelles,49180
49169,LA JUMELLIERE,La Jumellière,49092
49172,LANDEMONT,Landemont,49069
49173,LASSE,Lasse,49228
49175,LINIERES-BOUTON,Linières-Bouton,49228
49177,LIRE,Liré,49069
49179,LE LONGERON,Le Longeron,49301
49181,LOUERRE,Louerre,49003
49184,LOUVAINES,Louvaines,49331
49185,LUE-EN-BAUGEOIS,Lué-en-Baugeois,49163
49186,LUIGNE,Luigné,49050
49187,MARANS,Marans,49331
49189,MARIGNE,Marigné,49065
49190,LE MARILLAIS,Le Marillais,49244
49191,MARTIGNE-BRIAND,Martigné-Briand,49086
49196,LA MEIGNANNE,La Meignanne,49200
49197,MEIGNE-LE-VICOMTE,Meigné-le-Vicomte,49228
49198,MEIGNE,Meigné,49125
49199,MELAY,Melay,49092
49202,MEON,Méon,49228
49203,MERON,Méron,49215
49204,LE MESNIL-EN-VALLEE,Le Mesnil-en-Vallée,49244
49206,MONTFAUCON-MONTIGNE,Montfaucon-Montigné,49301
49207,MONTFORT,Montfort,49125
49208,MONTGUILLON,Montguillon,49331
49210,MONTIGNE-SUR-MOINE,Montigné-sur-Moine,49301
49212,MONTJEAN-SUR-LOIRE,Montjean-sur-Loire,49244
49213,MONTPOLLIN,Montpollin,49018
49225,NEUVY-EN-MAUGES,Neuvy-en-Mauges,49092
49226,NOELLET,Noëllet,49248
49227,NOTRE-DAME-D'ALLENCON,Notre-Dame-d'Allençon,49086
49229,NOYANT-LA-GRAVOYERE,Noyant-la-Gravoyère,49331
49230,NOYANT-LA-PLAINE,Noyant-la-Plaine,49003
49232,NUEIL-SUR-LAYON,Nueil-sur-Layon,49373
49233,NYOISEAU,Nyoiseau,49331
49234,PARCAY-LES-PINS,Parçay-les-Pins,49228
49238,PELLOUAILLES-LES-VIGNES,Pellouailles-les-Vignes,49323
49239,LE PIN-EN-MAUGES,Le Pin-en-Mauges,49023
49242,LE PLESSIS-MACE,Le Plessis-Macé,49200
49243,LA POITEVINIERE,La Poitevinière,49023
49245,PONTIGNE,Pontigné,49018
49249,LA POUEZE,La Pouëze,49367
