depcom,cp,ncc,nccenr,longitude,latitude
28201,28300,JOUY,Jouy,1.54985987581079,48.511895089438
28202,28340,LAMBLORE,Lamblore,0.9183478662462381,48.6248897053952
28203,28190,LANDELLES,Landelles,1.1979345548553093,48.46748613873618
28205,28200,LANNERAY,Lanneray,1.2391258317187797,48.086519298112215
28206,28270,LAONS,Laons,1.1761934951607889,48.70379347948024
28207,28700,LETHUIN,Léthuin,1.868475716066519,48.36780112250423
28208,28700,LEVAINVILLE,Levainville,1.7413657217182592,48.48798628419983
28209,28300,LEVES,Lèves,1.4806928825179795,48.46874189822067
28210,28310,LEVESVILLE-LA-CHENARD,Levesville-la-Chenard,1.8254095901250305,48.30079650139844
28211,28200,LOGRON,Logron,1.2613431457049995,48.14625323341884
28212,28140,LOIGNY-LA-BATAILLE,Loigny-la-Bataille,1.7325935393078993,48.122558519813964
28213,28210,LORMAYE,Lormaye,1.5380027749281995,48.64580346623015
28214,28240,LA LOUPE,La Loupe,1.0151281611368081,48.47086967295616
28215,28150,LOUVILLE-LA-CHENARD,Louville-la-Chenard,1.7871173801721891,48.323805699782504
28216,28500,LOUVILLIERS-EN-DROUAIS,Louvilliers-en-Drouais,1.2867421542349091,48.73152215597737
28217,28250,LOUVILLIERS-LES-PERCHE,Louvilliers-lès-Perche,1.0786071987280286,48.6221845936875
28218,28110,LUCE,Lucé,1.4640042487078793,48.43793416203162
28219,28480,LUIGNY,Luigny,1.0224485010187296,48.240598878827925
28220,28600,LUISANT,Luisant,1.4763788976912788,48.43089525746363
28221,28140,LUMEAU,Lumeau,1.7851671082160787,48.11591224623809
28222,28360,LUPLANTE,Luplanté,1.3979102317612992,48.299380407979434
28223,28500,LURAY,Luray,1.3958761591887094,48.72044435161429
28225,28120,MAGNY,Magny,1.2627532475585483,48.34876925189236
28226,28170,MAILLEBOIS,Maillebois,1.1475930856292282,48.6286761651922
28227,28130,MAINTENON,Maintenon,1.5775929189216094,48.58780524770416
28229,28300,MAINVILLIERS,Mainvilliers,1.460879104881669,48.452290483327204
28230,28700,MAISONS,Maisons,1.8446354123117195,48.40806052648818
28231,28270,LA MANCELIERE,La Mancelière,0.9934796643820092,48.647774117883564
28232,28240,MANOU,Manou,0.9821555837192449,48.518907841250304
28233,28200,MARBOUE,Marboué,1.3296368718812295,48.113038598157466
28234,28120,MARCHEVILLE,Marchéville,1.2513303591281792,48.36749927306694
